"","id","wave","NWP","SCR","EoF for SCR ","SCR coverage r","GWP ","Total assets ","Total liabilities ","Excess of assets over liabilities (£m) [= equ","Gross claims incurred (£m","Gross BEL (inc. TPs as whole, pre-TMTP) (£m","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Pure net claims ratio","Net expense ratio","Net combined ratio","Pure gross claims ratio"
"44","9","2019",0.35,16.35,22.72,3.93,24.28,32.93,15.84,20.9,78.94937448,NA,195.7422877,0.945208292,0.696280858,1.856404775,0.797544881
"45","9","2020",6.46,16.5,33.47,0.26,7.42,34.16,23.91,49.33,0,NA,0,0,0,0,0
"46","10","2016",404.12,3839.04,2052.58,1.25,678.22,260340.85,200126.4,7807.06,3.671435816,48.92676171,103.6347522,0.481683408,0.157258731,0.795576362,0.542120282
"47","10","2017",3882.09,5102.46,11977.14,0.67,9887.8,156760.49,130277.89,8980.15,100.8972545,83.33865989,31.95066536,0.457116307,0.823771262,1.145839028,1.612386408
"48","10","2018",6640.43,2578.83,4128.91,1.96,9002.11,192068.21,193831.91,6395.47,138.3456333,168.6716917,103.3019316,1.053772514,0.419120809,0.493554274,1.201123936
"49","10","2019",5196.62,323.48,5724.02,1.11,10552.59,205328.18,91918.54,4200.11,122.9845539,NA,21.43786994,0.966148364,0.290092755,1.510425232,0.194830777
"50","10","2020",221.99,1773.69,8207.82,0.6,882.48,195835.58,254270.41,9062.23,189.6973238,NA,172.0825947,0.242027219,0.013781017,0.074721722,0.859654795
"51","11","2016",0,0,0,0,0,0,0,0,37.83434408,0.924388072,282.9113468,0.580423214,0.453393515,0.313697488,0.543305193
"52","11","2017",0,0,0,0,0,0,0,0,8.314971666,0.100821438,114.5496269,1.341074151,0.54008152,1.694761557,0.311560335
"53","11","2018",0,0,0,0,0,0,0,0,14.13254497,76.6204127,111.2386328,0.61814781,0.080658132,1.430429543,0.579477851
"54","11","2019",0,0,0,0,0,0,0,0,62.05414138,NA,160.1574542,0.846397083,0.529421725,0.123914265,0.316950225
"55","11","2020",0,0,0,0,0,0,0,0,116.1906858,NA,188.9541711,0.009316155,0.66608908,0.90835607,0.599947885
"56","12","2016",0,1.13,2.46,5.12,0,9.66,3.93,0.19,114.7498529,336.1229273,233.845095,0.349507591,0.31427503,0.301592589,0.925942237
"57","12","2017",0,0.95,2.19,3.26,0,19.93,1.03,1.18,39.98618472,102.2002831,115.5928013,0.640787878,0.596874988,0.481736674,0.756368295
"58","12","2018",0,1.22,2.58,5.74,0,8.69,6.4,6.47,9.262802254,107.3517768,43.02477099,0.0134521,0.936471908,0.224501645,0.682584963
"59","12","2019",0,1.73,1.4,2.29,0,13.35,2.44,5.55,66.64366636,NA,38.81376949,0.696309355,0.100645576,0.415321828,1.48404678
"60","12","2020",0,1.06,5.21,0.83,0,9.68,4.57,3.08,0.195251432,NA,82.09466765,1.407151493,0.150557485,0.504932664,1.666395174
"61","13","2016",4.21,1.08,4.44,4.85,0.41,4.89,0.52,2.84,0,0,0,0,0,0,0
"62","13","2017",4.13,0.69,5.06,3.35,1.29,2.2,1,5.26,0,0,0,0,0,0,0
"63","13","2018",5.38,0.64,4.71,2.47,2.22,1.17,1.56,5.44,0,0,0,0,0,0,0
"64","13","2019",3.01,0.63,0.35,0.26,2.41,2.01,0.7,1.04,0,NA,0,0,0,0,0
"65","13","2020",3.32,1.21,2.92,4.34,4,1.47,0.69,2.22,0,NA,0,0,0,0,0
"66","14","2016",29.43,2.51,37.86,0.7,19.83,46.83,1.33,19.27,133.662586,625.0259106,221.0417024,0.209155212,0.866585894,0.086922338,0.198470435
"67","14","2017",13.91,12.66,12.84,1.17,18.65,92.4,22.63,24.83,474.5200981,521.7703934,862.8482579,0.655705978,0.800456374,1.216979493,0.692985742
"68","14","2018",32.71,1.27,37.33,1.98,24.92,5.81,21.76,32.03,124.8516345,53.38572369,178.4510834,0.684838624,0.81519757,0.480108632,0.864545668
"69","14","2019",17.7,9.57,39.85,3.32,17.86,38.51,37.9,3.45,64.6602104,NA,739.5273,0.186660366,0.366182078,1.278448413,0.299355655
"70","14","2020",0.52,8.41,14.34,0.67,13.93,19.48,43.35,42.61,228.9314889,NA,708.2684564,0.480508379,0.216376737,1.123687025,0.471245224
"71","15","2016",0.77,36.35,42.86,3.07,11.76,50.32,-1.08,9.94,0,0,0,0,0,0,0
"72","15","2017",5.01,32.41,87.68,2.4,9.61,10.81,-0.13,0.4,0,0,0,0,0,0,0
"73","15","2018",12.11,68.13,91.89,1.98,6.84,76.08,-6.21,12.11,0,0,0,0,0,0,0
"74","15","2019",10.04,58.83,81.43,1.9,0.64,66.14,-0.63,100.63,0,NA,0,0,0,0,0
"75","15","2020",0.56,40.2,83.37,0.39,6.46,19.63,-28.92,21.07,0,NA,0,0,0,0,0
"76","16","2016",0,7.16,90.15,10.67,0,155.21,19.6,232.81,0,0,0,0,0,0,0
"77","16","2017",0,0.06,30.28,27.85,0,13.17,14.99,28.53,0,0,0,0,0,0,0
"78","16","2018",0,1.2,19.48,21.48,0,48.01,12.95,17.68,0,0,0,0,0,0,0
"79","16","2019",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"80","16","2020",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"81","17","2016",5210.94,173.81,342.99,1.47,3651.62,12896.91,9319.98,325.36,516.61224,4331.84444,7251.529652,0.649208533,0.127244969,1.394985403,0.608647263
"82","17","2017",1146.93,153.05,331.48,1.28,5132.98,7896.29,3939.22,78.17,3608.238396,433.4812205,4245.185543,0.223160491,0.648455319,1.679427204,1.119319035
"83","17","2018",1620.22,136.49,454.81,1.41,344.34,10486.74,8393.97,89.06,628.2528089,5147.586267,1329.87835,0.702312605,0.418981595,0.439327213,0.376879222
"84","17","2019",1256.93,12.37,170.08,0.01,2037.69,14480.15,8109,207.28,1420.733285,NA,7681.854102,0.900892401,0.416557607,0.146248494,1.29298412
"85","17","2020",0,0,0,0,0,0,0,0,1426.122857,NA,192.3089237,0.998605176,0.156905409,0.327147152,1.028110817
"86","18","2016",0,0.37,7.01,10.36,0,3.19,0.17,3.27,8.253866369,223.3555243,787.2243587,0.022693551,0.063296043,1.23181074,0.304289996
"87","18","2017",0,0.27,3.84,29.17,0,1.76,0.41,8.76,362.3634026,1050.846515,646.6683528,0.23196967,0.758560941,1.961442514,1.14064408
"88","18","2018",0,0.48,0.04,14.84,0,4.51,0.17,10.33,673.3621094,1451.878303,215.616316,0.277269584,0.037275769,0.77731937,0.00709665
"89","18","2019",0,0.52,8.94,26.17,0,8.51,0,6.02,254.25353,NA,357.5632358,0.437853343,0.516992879,1.823023693,0.277384328
"90","18","2020",0,0,0,0,0,0,0,0,12.67685295,NA,883.2055038,0.358123466,0.428147057,0.841984269,0.779567947
"91","19","2016",0,0,0,0,0,0,0,0,140.8436618,80.01981258,163.1288307,0.041240859,0.678121437,0.307807364,0.443017111
"92","19","2017",0,0,0,0,0,0,0,0,422.6204115,318.2092565,356.9860627,0.08935999,0.404049643,1.448250623,0.766904558
"93","19","2018",0,0.89,3.91,6.56,0,6.25,0.03,1.64,45.38560998,100.6766927,797.4431975,0.026297335,0.371145937,1.662545791,0.661995989
"94","19","2019",2006.29,431.39,3521.28,0.3,3535.43,13028.09,4052.7,2023.41,552.0427778,NA,601.5007911,1.270548391,0.039635838,1.733308466,0.852164064
"95","19","2020",326.55,2100.13,1551.44,0.43,3135.96,11122.88,5785.53,2350.66,33.63578328,NA,176.2147454,0.869470454,0.007955835,1.851944487,1.126516968
"96","20","2016",0,1.41,8.03,0.96,0.01,33.69,31.49,14.9,0,0,0,0,0,0,0
"97","20","2017",0.01,0.16,8.86,2.81,0.1,16.04,12.93,10.25,0,0,0,0,0,0,0
"98","20","2018",0,3.19,3.6,8.45,0,1.03,16.05,7.68,0,0,0,0,0,0,0
"99","20","2019",0,0.76,0.54,3.78,0,47.71,19.08,11.47,0,NA,0,0,0,0,0
"100","20","2020",0,1.23,5.8,8.13,0,29.19,1.51,16.99,0,NA,0,0,0,0,0
"101","21","2016",0,0.35,0.35,5.19,0,4.25,1.3,4.77,1.561215555,-0.909519602,0.787544393,0.104079567,1.432745994,0.416415127,1.088996924
"102","21","2017",0,0.39,6.27,20.91,0,6.31,1.12,5.87,3.083069267,-7.651347236,0.004441839,0.382269892,0.381376672,0.204713645,0.512625513
"103","21","2018",0,0.03,20.41,3.49,0,222.15,41.07,41.35,4.183114763,-15.43377075,-0.858067124,0.443997951,0.8904398,0.575247795,0.104325979
"104","21","2019",0,13.19,81.55,3.79,0,149.31,21.57,26.2,1.990674241,NA,-4.727244299,0.053089411,0.851370911,0.071863995,0.306045006
"105","21","2020",0.03,35.54,11.38,1.19,0,7.87,49.45,2.48,8.52076268,NA,-0.770870118,3.757804459,0.45680571,0.981922402,0.297107906
"106","22","2016",11.35,119.98,113.71,2.29,104.95,1124.55,651.71,342.08,652.4647327,5666.243934,2435.464774,0.735828167,0.129593168,1.775765001,0.634005816
"107","22","2017",26.61,160.33,153.76,1.75,4.22,2673.37,2188.88,376.02,1664.599984,3876.636717,2464.306962,0.173333801,0.114257043,0.784978742,0.26784958
"108","22","2018",55.84,140.41,71.02,1.15,77.6,3527.7,2240.96,214.22,2367.905042,4619.573172,1019.532802,0.405043463,0.405800329,0.928041983,0.998751348
"109","22","2019",53.52,62.47,54.61,1.93,62.35,604.11,1462.16,275.24,977.5722333,NA,3927.649346,0.259884535,0.391723871,1.624286011,0.998533551
"110","22","2020",28.47,127.68,106.13,1.7,54.08,855.05,777.32,84.48,1092.389998,NA,2257.069166,0.597334909,0.345370698,1.779858366,0.17939156
"111","23","2016",982.26,4.19,67.47,5.29,2177.67,6949.08,6061.83,3.26,0,0,0,0,0,0,0
"112","23","2017",634.61,5.05,15.44,0.05,58.39,1174.23,16129.66,28.31,0,0,0,0,0,0,0
"113","23","2018",2043.25,11.31,30.22,1.54,2036.31,15874.59,852.78,0.23,0,0,0,0,0,0,0
"114","23","2019",5085.7,3.88,12.87,1.49,2016.24,15376.29,620.55,33.08,0,NA,0,0,0,0,0
"115","23","2020",1626.62,12.84,43.74,6.06,3563.6,5995.82,4058.05,34.76,0,NA,0,0,0,0,0
"116","24","2016",0,8.88,44.81,3.25,0,2228.43,3827.78,29.06,52.97179593,83.17331264,111.8295664,0.478952516,0.528093162,1.048913788,0.861328667
"117","24","2017",206.31,11.35,53.51,4.03,207.38,13442.11,16995.96,16.43,62.72527496,66.84795302,20.11313417,0.748350298,0.225054633,1.381480517,0.432732841
"118","24","2018",897.38,16,25.55,2.44,361.51,2278.21,234.54,2.41,69.4573488,115.2779095,42.391767,0.796148796,0.437508651,1.352184823,0.11879363
"119","24","2019",0,0,0,0,0,0,0,0,47.29170671,NA,24.12575969,0.745086491,0.218145164,1.446939762,0.312476709
"120","24","2020",0,0,0,0,0,0,0,0,-8.375385666,NA,37.76410841,-0.287259741,0.790757233,0.646380231,-0.107451792
"121","25","2016",9622.28,11.95,25.84,1.61,4169.96,69969.25,47564.11,0.48,1146.991043,1295.687332,56.55679719,0.56313932,0.145566672,0.885138582,0.143562578
"122","25","2017",2356.63,10.59,15.69,3.16,1758.19,22793.89,38268.17,23.89,2624.947115,9493.245964,3134.552167,0.303264529,0.600216053,1.196638902,0.310950083
"123","25","2018",1227.71,2.2,27.23,1.83,5927.7,14475.93,3107.19,25.57,1398.276871,798.6578229,3984.642792,0.143309881,0.185998036,0.504086546,0.486810802
"124","25","2019",7134.65,1.77,20.12,4.55,1198.25,29976.66,4531.26,5.83,0,NA,0,0,0,0,0
"125","25","2020",9765.61,0.23,9.8,3.16,7031.52,3614.91,30445.54,27.07,0,NA,0,0,0,0,0
"126","26","2016",75526.67,4282.79,6955.22,0.89,17208.39,61185.72,69741.38,7266.41,297.0949785,215.8912544,146.2919518,1.101442368,0.015002672,1.577904164,1.004559217
"127","26","2017",2187.59,3852,2081.39,1.79,13019.6,74897.83,68511.99,6694.88,430.8373531,227.3710469,760.6051601,0.785847738,0.375561647,0.533868007,0.785864307
"128","26","2018",11251.35,1061.57,1602.02,2.88,3419.69,97972.53,57527.47,7923.76,62.06945991,1189.705234,1034.264162,0.723141492,0.428921437,0.026394732,0.602013545
"129","26","2019",6683.96,98.03,3020.38,2.44,8013.28,109524.33,84757.53,7581.78,315.841298,NA,101.106044,0.34757755,0.474035051,0.973189751,0.076233268
"130","26","2020",16395.67,2960.78,7661.18,0.31,10352.25,83195.53,7816.29,48.84,624.9896043,NA,1008.978897,0.714101334,0.434494159,1.290028751,0.190974395
"131","27","2016",0.02,4.5,9.82,2.09,0,4.35,65.43,49.14,0.026911264,2.840983304,0.111941034,0,0,0,0
"132","27","2017",0,1.52,13.46,9.69,0,15.62,0,3.07,-0.194812334,0.828270002,0.090799067,0,0,0,0.384269614
"133","27","2018",0,0,0,0,0,0,0,0,0.018579196,2.455320581,0.129467512,0,0,0,0
"134","27","2019",0,0,0,0,0,0,0,0,-1.335901338,NA,0.11201714,0,0,0,0
"135","27","2020",0,0,0,0,0,0,0,0,-0.783794127,NA,0.228768429,0,0,0,0
"136","28","2016",0.36,30.7,1019.1,1.34,38.81,1845.29,607.11,401.09,0.033133627,38.20837832,55.97747438,-21.54709257,-84.31862822,-180.3985786,-247.0650637
"137","28","2017",10.57,35.65,857.06,5.33,14.75,878.97,1022.77,1702.44,1.513621022,36.87160919,10.02262768,371.9830523,281.5727906,392.004673,1610.725837
"138","28","2018",16.36,39.04,1007.6,3.95,7.47,603.6,732.21,601.87,4.552631484,11.39897476,58.18959232,462.1416076,68.67174884,2312.744794,2390.999754
"139","28","2019",22.11,98.18,904.16,3.47,54.6,1013.91,157.21,1376.69,0,NA,0,0,0,0,0
"140","28","2020",64.65,109.7,296.72,0.88,53.18,875.86,230.35,402.05,0,NA,0,0,0,0,0
"141","29","2016",0,0,0,0,0,0,0,0,3.021323532,20.34604708,12.02048527,-0.212835875,0.736852652,0.188861459,0.227380865
"142","29","2017",0,0,0,0,0,0,0,0,1.085874978,46.60184004,11.43381652,1.465234291,0.210290277,1.332138492,0.481620523
"143","29","2018",0,0,0,0,0,0,0,0,6.538802821,19.26282708,12.6471324,0.001013631,0.00383756,2.616031211,0.7465275
"144","29","2019",0,0,0,0,0,0,0,0,0.000139681,NA,43.15432229,0.000671166,0.027188926,1.079271571,0.00047478
"145","29","2020",0,0,0,0,0,0,0,0,21.45174789,NA,33.89904885,1.474512198,0.152139178,2.41912769,0.134061459
"146","30","2016",198.46,2801.42,2620.28,1.91,2213.11,50286.17,773.12,4805.08,-0.021585546,18.39524842,0.05948828,0,0,0,-0.222257033
"147","30","2017",5260.73,3545.73,1507.82,0.04,436.67,39413.9,24458.82,4611.24,25.1631285,106.4298762,-0.00707866,0,0,0,30.12143268
"148","30","2018",9063.12,3476.43,2490.07,1.77,6803.62,43361.14,75634.09,3202.36,7.863494674,40.79188284,-0.139396792,0,0,0,9.410947497
"149","30","2019",6124.6,1392.06,1994.43,2.18,2301.23,49845.42,70632.72,3041.05,0,NA,0,0,0,0,0
"150","30","2020",3396.24,3729.85,7057.2,2.92,3093.82,44306.86,99549.64,8258.06,0,NA,0,0,0,0,0
"151","31","2016",0,1.61,7.18,4.64,-0.01,8.41,3.44,6.92,27.64479472,0.033138768,4.835596845,1.05362366,0.691507751,1.707122365,0.892183287
"152","31","2017",0,0.04,2.59,9.93,0,0.67,0,3.03,12.59191536,4.075785692,11.84966133,0.215792666,1.399582161,2.084171053,0.22500908
"153","31","2018",0,0,0,0,0,0,0,0,87.90654543,80.56201444,22.17593338,0.445074648,0.943340926,1.595589042,0.114998987
"154","31","2019",0,0,0,0,0,0,0,0,4.090581056,NA,73.56666883,0.048590255,1.029192827,1.178559374,0.412671392
"155","31","2020",0,0,0,0,0,0,0,0,215.5258545,NA,78.08191786,0.751504863,0.60371644,0.586138027,0.699251814
"156","32","2016",68.51,718.32,749.52,1.94,500.93,2329.84,534.26,173.64,0,0,0,0,0,0,0
"157","32","2017",322.42,348.55,601.39,0.8,150.27,813.13,1607.85,598.22,19.39535754,13.30903792,16.0300608,0.179291739,1.06979698,0.585805802,0.224272395
"158","32","2018",346.83,24.74,43.87,0.57,108.53,1902.49,424.62,844.98,43.79478577,27.54459597,2.377781224,0.657372821,0.634800372,0.155858269,0.519990562
"159","32","2019",0,0,0,0,0,0,0,0,8.636005836,NA,17.67284463,0.227583132,0.012478107,1.601797425,0.397582621
"160","32","2020",0,0,0,0,0,0,0,0,24.8526779,NA,21.57449859,0.297656543,0.926781514,0.593213203,0.583932981
"161","33","2016",-4.39,834.28,177.65,2.41,1.04,13439.79,4123.31,1530.06,320.4617869,13.85743516,15.13472821,0.012092192,0.215379943,1.723155185,0.871000301
"162","33","2017",12.13,480.95,243.14,1.35,2.45,8888.46,5542.03,709.65,71.95291366,0.067318234,1.469189766,0.528872764,0.170768462,1.512439561,0.089005103
"163","33","2018",6.13,298.73,1243.62,2.44,12.77,4185.53,10384.65,40.95,184.6213104,-1.16572386,-7.326507293,0.556499876,0.707741628,1.147754074,0.166533502
"164","33","2019",20.15,270.17,202.04,1.37,3.17,4332.23,5953.56,665.45,190.9164819,NA,0.617779186,0.321275199,0.66727964,0.377084044,0.15845162
"165","33","2020",0.11,3.22,5.66,3.64,0.15,19.51,90.9,2.7,0,NA,0,0,0,0,0
"166","34","2016",10135.26,8785.96,11855.75,2.91,7875.72,135949.88,15477.01,21206.54,0,0,0,0,0,0,0
"167","34","2017",3630.29,3011.61,1926.04,0.74,4506.76,107581.2,167736.86,11528.9,4.877267,1.595990071,8.3052265,1.474694583,2.411038079,5.041302439,0.151394725
"168","34","2018",3530.84,5924.16,7664.51,2.6,8107.79,140669.68,143973.37,16050.45,26.93048217,8.803561962,4.252747446,0.791800173,0.39156711,1.303822094,0.621479965
"169","34","2019",-184.09,3884.82,9838.42,3.04,11427.64,181329.99,310336.93,7720.36,5.663690566,NA,17.21631936,1.102546359,0.129564134,1.610047532,0.720364975
"170","34","2020",6105.5,2971.06,9793.44,2.55,19274.96,160124.46,182263.89,5352.13,8.454639573,NA,11.00709563,0.171834055,1.943462914,1.636142967,0.493241757
"171","35","2016",281.81,3.82,34.64,0.28,251.85,2246.96,1566.15,268.39,48.70212437,-8.644356817,-19.02424169,0.177651651,0.029756195,0.641465988,1.074833324
"172","35","2017",168.54,335,453.01,2.36,454.82,3055.32,677.9,138.49,79.33128249,-1.114885686,-1.877838695,1.370543498,0.002598406,1.668754301,1.137803349
"173","35","2018",260.78,52.9,20.82,1.13,469.66,1216.28,2820.59,72.13,0.28297419,0.124630474,11.78862874,0.588986074,0.018982415,1.012135962,1.142555459
"174","35","2019",429.14,14.89,490.39,0.24,287.62,2339.9,3019.33,275.04,26.88193924,NA,3.709357167,1.42127719,0.245672329,0.842016937,0.554754113
"175","35","2020",777.09,91.27,114.17,1.18,906.34,1032.8,660.47,47.02,44.46262029,NA,-19.39256932,1.214254934,0.215647053,1.036303041,0.679826492
"176","36","2016",0,0.38,9.61,2.72,0,49.14,8.25,26.53,0,0,0,0,0,0,0
"177","36","2017",0,0.51,32.71,3.58,0,3.35,7.12,5.84,0,0,0,0,0,0,0
"178","36","2018",0,3.7,42.96,5.75,0,19.99,0.73,9.89,30.96103157,0.719463012,-1.682233833,1.028477,0.568143737,0.15653115,0.47673668
"179","36","2019",0,5.17,41.76,6.36,0,23.98,3.28,35.43,66.95812775,NA,-3.734917568,0.334099142,0.662212697,1.222114541,1.257081404
"180","36","2020",0,3.2,33.39,15.43,0,28.44,3.43,16.41,53.65629632,NA,-0.196177165,1.064789887,0.489787282,0.259777229,1.086705091
"181","37","2016",0,0.32,0.69,4.78,0,5.3,0.09,4.69,1724.354082,768.6974858,826.5478414,0.356203102,0.40773036,0.545111083,0.464004867
"182","37","2017",0,0.92,2.97,10.02,0,1.25,0.04,4.1,0.161450442,796.2402741,1733.943442,0.461959117,0.110047833,0.757531923,0.682439602
"183","37","2018",0,0.46,2.08,0.59,0,5.7,0.01,6.33,1366.018019,260.4395579,224.0161255,0.049963499,0.559444552,1.208836852,0.682593841
"184","37","2019",0.2,2.73,4.88,1.51,2.81,11.99,0.51,4.66,1253.042739,NA,1801.886782,1.29452875,0.128000492,0.250929313,1.056468529
"185","37","2020",0.39,3.38,7.84,1.07,13.19,11.7,9.5,5.95,639.2286422,NA,677.1062069,0.721658298,0.496606347,0.162686282,0.684364862
"186","38","2016",6060.19,3315.02,3650.83,1.34,7063.98,2108.63,5844,2531.59,214.186534,93.82154227,147.8874528,1.074094664,0.5509278,1.069812038,0.771997653
"187","38","2017",3345.29,4255.46,1651.79,2.5,6202.57,25317.22,9955.16,3813.17,568.1873854,670.3351289,173.9186674,0.960984411,0.280197548,1.430322293,0.755593775
"188","38","2018",1666.57,3786.53,1017.56,1.6,4720.2,3315.02,9464.48,4071.23,380.0384312,355.1218128,443.256743,0.162415184,0.619685033,1.575578926,0.137459694
"189","38","2019",0,0,0,0,0,0,0,0,57.23373091,NA,265.9893208,0.054465215,0.046013894,0.358718899,0.564513023
"190","38","2020",0,0,0,0,0,0,0,0,360.0522193,NA,18.29442565,0.208193047,0.201858171,1.379684025,0.917995523
"191","39","2016",13.76,24.12,16.81,1.62,10.85,82.44,5.43,85.58,0,0,0,0,0,0,0
"192","39","2017",10.19,43.75,48.43,0.84,0.43,120.15,4.7,86.73,0,0,0,0,0,0,0
