,Gross claims incurred (£m),Gross claims incurred (£m),Gross claims incurred (£m),Gross claims incurred (£m),Gross claims incurred (£m),"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",Pure net claims ratio,Pure net claims ratio,Pure net claims ratio,Pure net claims ratio,Pure net claims ratio,Net expense ratio,Net expense ratio,Net expense ratio,Net expense ratio,Net expense ratio,Net combined ratio,Net combined ratio,Net combined ratio,Net combined ratio,Net combined ratio,Pure gross claims ratio,Pure gross claims ratio,Pure gross claims ratio,Pure gross claims ratio,Pure gross claims ratio,Gross expense ratio,Gross expense ratio,Gross expense ratio,Gross expense ratio,Gross expense ratio,Gross combined ratio,Gross combined ratio,Gross combined ratio,Gross combined ratio,Gross combined ratio,
Firm 10,3.671435816,100.8972545,138.3456333,122.9845539,189.6973238,48.92676171,83.33865989,168.6716917,69.9267024,253.3302501,103.6347522,31.95066536,103.3019316,21.43786994,172.0825947,0.481683408,0.457116307,1.053772514,0.966148364,0.242027219,0.157258731,0.823771262,0.419120809,0.290092755,0.013781017,0.795576362,1.145839028,0.493554274,1.510425232,0.074721722,0.542120282,1.612386408,1.201123936,0.194830777,0.859654795,0.12695365,0.025788849,0.605825451,0.455562046,0.374612442,1.520116493,0.350161148,1.291961537,0.357412375,0.306303128,
Firm 11,37.83434408,8.314971666,14.13254497,62.05414138,116.1906858,0.924388072,0.100821438,76.6204127,76.92384967,60.95029322,282.9113468,114.5496269,111.2386328,160.1574542,188.9541711,0.580423214,1.341074151,0.61814781,0.846397083,0.009316155,0.453393515,0.54008152,0.080658132,0.529421725,0.66608908,0.313697488,1.694761557,1.430429543,0.123914265,0.90835607,0.543305193,0.311560335,0.579477851,0.316950225,0.599947885,0.481242049,0.334214026,0.487883703,0.074780155,0.606021284,0.022451813,2.089363717,1.309309848,0.20670253,0.991739085,
Firm 12,114.7498529,39.98618472,9.262802254,66.64366636,0.195251432,336.1229273,102.2002831,107.3517768,70.90039544,45.04312826,233.845095,115.5928013,43.02477099,38.81376949,82.09466765,0.349507591,0.640787878,0.0134521,0.696309355,1.407151493,0.31427503,0.596874988,0.936471908,0.100645576,0.150557485,0.301592589,0.481736674,0.224501645,0.415321828,0.504932664,0.925942237,0.756368295,0.682584963,1.48404678,1.666395174,0.632424791,0.155162224,0.279422902,0.049536362,0.045109136,1.879971559,1.251860743,0.851866871,0.162457872,0.917823148,
Firm 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 14,133.662586,474.5200981,124.8516345,64.6602104,228.9314889,625.0259106,521.7703934,53.38572369,1175.934682,72.40570145,221.0417024,862.8482579,178.4510834,739.5273,708.2684564,0.209155212,0.655705978,0.684838624,0.186660366,0.480508379,0.866585894,0.800456374,0.81519757,0.366182078,0.216376737,0.086922338,1.216979493,0.480108632,1.278448413,1.123687025,0.198470435,0.692985742,0.864545668,0.299355655,0.471245224,0.512866163,0.261628225,0.672518234,0.479664494,0.298208866,0.106121967,0.434475719,1.122537769,0.623217291,0.351138886,
Firm 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 17,516.61224,3608.238396,628.2528089,1420.733285,1426.122857,4331.84444,433.4812205,5147.586267,5930.864966,4673.554735,7251.529652,4245.185543,1329.87835,7681.854102,192.3089237,0.649208533,0.223160491,0.702312605,0.900892401,0.998605176,0.127244969,0.648455319,0.418981595,0.416557607,0.156905409,1.394985403,1.679427204,0.439327213,0.146248494,0.327147152,0.608647263,1.119319035,0.376879222,1.29298412,1.028110817,0.16209117,0.256303639,0.087495744,0.141326132,0.17845605,1.090492764,1.576528783,1.575258942,0.596478343,1.129964099,
Firm 18,8.253866369,362.3634026,673.3621094,254.25353,12.67685295,223.3555243,1050.846515,1451.878303,8.490973454,731.339036,787.2243587,646.6683528,215.616316,357.5632358,883.2055038,0.022693551,0.23196967,0.277269584,0.437853343,0.358123466,0.063296043,0.758560941,0.037275769,0.516992879,0.428147057,1.23181074,1.961442514,0.77731937,1.823023693,0.841984269,0.304289996,1.14064408,0.00709665,0.277384328,0.779567947,0.066051523,0.204031369,0.29191591,0.042797585,0.269948331,0.132124016,2.322264204,1.282563139,1.082186434,0.096483063,
Firm 19,140.8436618,422.6204115,45.38560998,552.0427778,33.63578328,80.01981258,318.2092565,100.6766927,726.7940675,338.1191335,163.1288307,356.9860627,797.4431975,601.5007911,176.2147454,0.041240859,0.08935999,0.026297335,1.270548391,0.869470454,0.678121437,0.404049643,0.371145937,0.039635838,0.007955835,0.307807364,1.448250623,1.662545791,1.733308466,1.851944487,0.443017111,0.766904558,0.661995989,0.852164064,1.126516968,0.709526495,0.565920352,0.572008218,0.207761254,0.526823557,1.514475367,0.543054956,1.321923903,1.931921146,0.802707958,
Firm 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 21,1.561215555,3.083069267,4.183114763,1.990674241,8.52076268,-0.909519602,-7.651347236,-15.43377075,-12.07106987,-2.459812396,0.787544393,0.004441839,-0.858067124,-4.727244299,-0.770870118,0.104079567,0.382269892,0.443997951,0.053089411,3.757804459,1.432745994,0.381376672,0.8904398,0.851370911,0.45680571,0.416415127,0.204713645,0.575247795,0.071863995,0.981922402,1.088996924,0.512625513,0.104325979,0.306045006,0.297107906,0.614482406,0.043524729,0.495125786,0.215699484,0.32509915,0.038587251,1.040741036,0.755521536,0.608989532,3.099208143,
Firm 22,652.4647327,1664.599984,2367.905042,977.5722333,1092.389998,5666.243934,3876.636717,4619.573172,2884.72264,1376.030647,2435.464774,2464.306962,1019.532802,3927.649346,2257.069166,0.735828167,0.173333801,0.405043463,0.259884535,0.597334909,0.129593168,0.114257043,0.405800329,0.391723871,0.345370698,1.775765001,0.784978742,0.928041983,1.624286011,1.779858366,0.634005816,0.26784958,0.998751348,0.998533551,0.17939156,0.584603093,0.261450686,0.366140503,0.435915208,0.616257983,1.920294311,0.392256051,0.840032559,0.11693446,0.105807743,
Firm 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 24,52.97179593,62.72527496,69.4573488,47.29170671,-8.375385666,83.17331264,66.84795302,115.2779095,59.28085882,13.460463,111.8295664,20.11313417,42.391767,24.12575969,37.76410841,0.478952516,0.748350298,0.796148796,0.745086491,-0.287259741,0.528093162,0.225054633,0.437508651,0.218145164,0.790757233,1.048913788,1.381480517,1.352184823,1.446939762,0.646380231,0.861328667,0.432732841,0.11879363,0.312476709,-0.107451792,0.018763301,0.039206688,0.206984129,0.503186552,0.713811953,0.747582069,1.389877725,1.084873139,0.990627258,0.103193237,
Firm 25,1146.991043,2624.947115,1398.276871,0,0,1295.687332,9493.245964,798.6578229,0,0,56.55679719,3134.552167,3984.642792,0,0,0.56313932,0.303264529,0.143309881,0,0,0.145566672,0.600216053,0.185998036,0,0,0.885138582,1.196638902,0.504086546,0,0,0.143562578,0.310950083,0.486810802,0,0,0.464859237,0.361292633,0.747788842,0,0,0.874979518,1.08076892,1.187106431,0,0,
Firm 26,297.0949785,430.8373531,62.06945991,315.841298,624.9896043,215.8912544,227.3710469,1189.705234,331.7177902,17.45474041,146.2919518,760.6051601,1034.264162,101.106044,1008.978897,1.101442368,0.785847738,0.723141492,0.34757755,0.714101334,0.015002672,0.375561647,0.428921437,0.474035051,0.434494159,1.577904164,0.533868007,0.026394732,0.973189751,1.290028751,1.004559217,0.785864307,0.602013545,0.076233268,0.190974395,0.605200379,0.248584989,0.584427279,0.333017301,0.411128055,1.639586866,0.733022325,0.253679332,0.143545496,1.031633465,
Firm 27,0.026911264,-0.194812334,0.018579196,-1.335901338,-0.783794127,2.840983304,0.828270002,2.455320581,2.212139577,0.612265711,0.111941034,0.090799067,0.129467512,0.11201714,0.228768429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384269614,0,0,0,0,0,0,0,0,0,4.617154654,0,0,0,
Firm 28,0.033133627,1.513621022,4.552631484,0,0,38.20837832,36.87160919,11.39897476,0,0,55.97747438,10.02262768,58.18959232,0,0,-21.54709257,371.9830523,462.1416076,0,0,-84.31862822,281.5727906,68.67174884,0,0,-180.3985786,392.004673,2312.744794,0,0,-247.0650637,1610.725837,2390.999754,0,0,-180.6953069,2587.034477,6317.468135,0,0,-67.63915081,1547.908699,16023.6093,0,0,
Firm 29,3.021323532,1.085874978,6.538802821,0.000139681,21.45174789,20.34604708,46.60184004,19.26282708,29.41838586,1.00241574,12.02048527,11.43381652,12.6471324,43.15432229,33.89904885,-0.212835875,1.465234291,0.001013631,0.000671166,1.474512198,0.736852652,0.210290277,0.00383756,0.027188926,0.152139178,0.188861459,1.332138492,2.616031211,1.079271571,2.41912769,0.227380865,0.481620523,0.7465275,0.00047478,0.134061459,0.371314787,0.380976043,0.58625167,0.6065675,0.790322439,1.178027602,4.201534713,0.987764064,0.264464929,3.577399391,
Firm 30,-0.021585546,25.1631285,7.863494674,0,0,18.39524842,106.4298762,40.79188284,0,0,0.05948828,-0.00707866,-0.139396792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222257033,30.12143268,9.410947497,0,0,0.597920868,0.109913269,0.829084802,0,0,0.342532259,22.79933149,11.9115131,0,0,
Firm 31,27.64479472,12.59191536,87.90654543,4.090581056,215.5258545,0.033138768,4.075785692,80.56201444,121.6721036,112.2005102,4.835596845,11.84966133,22.17593338,73.56666883,78.08191786,1.05362366,0.215792666,0.445074648,0.048590255,0.751504863,0.691507751,1.399582161,0.943340926,1.029192827,0.60371644,1.707122365,2.084171053,1.595589042,1.178559374,0.586138027,0.892183287,0.22500908,0.114998987,0.412671392,0.699251814,1.642901887,1.704733985,0.846897169,0.173806805,0.022744386,0.551402962,2.089570644,1.7024031,1.346599285,0.486225089,
Firm 32,0,19.39535754,43.79478577,8.636005836,24.8526779,0,13.30903792,27.54459597,18.68613427,8.743029807,0,16.0300608,2.377781224,17.67284463,21.57449859,0,0.179291739,0.657372821,0.227583132,0.297656543,0,1.06979698,0.634800372,0.012478107,0.926781514,0,0.585805802,0.155858269,1.601797425,0.593213203,0,0.224272395,0.519990562,0.397582621,0.583932981,0,0.313077553,0.225111795,1.104177363,1.015528572,0,1.354257589,0.516915305,0.990643318,0.284683691,
Firm 33,320.4617869,71.95291366,184.6213104,190.9164819,0,13.85743516,0.067318234,-1.16572386,0.716867566,0,15.13472821,1.469189766,-7.326507293,0.617779186,0,0.012092192,0.528872764,0.556499876,0.321275199,0,0.215379943,0.170768462,0.707741628,0.66727964,0,1.723155185,1.512439561,1.147754074,0.377084044,0,0.871000301,0.089005103,0.166533502,0.15845162,0,0.318227828,0.385476137,0.114680061,0.577303065,0,1.221283184,0.426357772,1.914181727,0.581429144,0,
Firm 34,0,4.877267,26.93048217,5.663690566,8.454639573,0,1.595990071,8.803561962,17.09926852,7.106001352,0,8.3052265,4.252747446,17.21631936,11.00709563,0,1.474694583,0.791800173,1.102546359,0.171834055,0,2.411038079,0.39156711,0.129564134,1.943462914,0,5.041302439,1.303822094,1.610047532,1.636142967,0,0.151394725,0.621479965,0.720364975,0.493241757,0,0.101058504,1.068645064,0.913817462,0.030353491,0,0.930896695,1.983447601,0.327642513,2.187806714,
Firm 35,48.70212437,79.33128249,0.28297419,26.88193924,44.46262029,-8.644356817,-1.114885686,0.124630474,5.50371091,-23.09043707,-19.02424169,-1.877838695,11.78862874,3.709357167,-19.39256932,0.177651651,1.370543498,0.588986074,1.42127719,1.214254934,0.029756195,0.002598406,0.018982415,0.245672329,0.215647053,0.641465988,1.668754301,1.012135962,0.842016937,1.036303041,1.074833324,1.137803349,1.142555459,0.554754113,0.679826492,0.268438307,0.057071654,0.067864702,0.231240724,0.100658235,1.548640383,1.528056646,1.392103554,0.140377471,0.807967848,
Firm 36,0,0,30.96103157,66.95812775,53.65629632,0,0,0.719463012,21.02450626,38.56082697,0,0,-1.682233833,-3.734917568,-0.196177165,0,0,1.028477,0.334099142,1.064789887,0,0,0.568143737,0.662212697,0.489787282,0,0,0.15653115,1.222114541,0.259777229,0,0,0.47673668,1.257081404,1.086705091,0,0,0.036162624,0.125130645,0.419555843,0,0,1.551094747,0.623866785,0.51569117,
Firm 37,1724.354082,0.161450442,1366.018019,1253.042739,639.2286422,768.6974858,796.2402741,260.4395579,251.53768,1936.762568,826.5478414,1733.943442,224.0161255,1801.886782,677.1062069,0.356203102,0.461959117,0.049963499,1.29452875,0.721658298,0.40773036,0.110047833,0.559444552,0.128000492,0.496606347,0.545111083,0.757531923,1.208836852,0.250929313,0.162686282,0.464004867,0.682439602,0.682593841,1.056468529,0.684364862,0.499940029,0.017774006,0.515840065,0.514791161,0.276795156,1.305931283,1.668751778,0.390368171,1.238826671,0.29355218,
Firm 38,214.186534,568.1873854,380.0384312,57.23373091,360.0522193,93.82154227,670.3351289,355.1218128,613.6173937,758.425905,147.8874528,173.9186674,443.256743,265.9893208,18.29442565,1.074094664,0.960984411,0.162415184,0.054465215,0.208193047,0.5509278,0.280197548,0.619685033,0.046013894,0.201858171,1.069812038,1.430322293,1.575578926,0.358718899,1.379684025,0.771997653,0.755593775,0.137459694,0.564513023,0.917995523,0.502710722,0.277131076,0.367190004,0.426256856,0.578936459,0.616669693,0.230957494,1.334053224,1.637039011,1.087537812,
Firm 39,0,0,0,0.209534938,3.527486214,0,0,0,1.174275897,8.62952042,0,0,0,0.348040687,4.11735722,0,0,0,1.067668743,0.198943468,0,0,0,47.12734209,4.742521499,0,0,0,13.16252797,7.566521706,0,0,0,1.043372121,0.230901161,0,0,0,5.539255255,0.779047386,0,0,0,2.421068624,2.856121775,
Firm 40,5.419214772,17.511765,135.9437118,33.34602913,204.0209379,11.45074515,84.04510867,94.4749356,215.8609388,156.9986361,10.75334753,65.23975874,111.819699,66.74183669,121.2847844,1.206038336,0.204574265,0.524051954,0.97884341,0.734909255,0.122185601,0.344140819,0.676168094,0.550609795,0.548378484,0.518945422,0.72080263,0.966204429,0.706363415,2.600521182,1.13648692,0.095802353,1.106792122,0.864318626,1.411028808,0.541539719,0.668281605,0.352320958,0.618315128,0.658844158,2.482768617,0.098687805,0.018239363,1.449156731,0.723982963,
Firm 41,2.577134527,37.38651308,21.96375984,14.34372701,0.54285871,3.582990045,4.072579237,3.266988048,8.322705289,8.275613534,11.14931595,0.465447811,7.621022216,8.636666604,3.37969793,0.219063145,1.368914153,0.221678879,1.09834743,0.030734038,0.108041698,0.383021912,0.182798747,0.262578167,0.049534352,0.605661688,1.528425559,0.87499445,0.971106959,0.265461817,0.901910601,1.368134508,0.851359103,0.540871217,0.031881197,0.307196826,0.204517648,0.120635997,0.126546175,0.443821229,0.513579516,1.278208576,0.436381068,0.119197734,0.185696279,
Firm 42,0,85.96860233,175.5525079,79.91932119,246.1658396,0,7.268084839,14.75188794,-1.849282892,-17.25089155,0,25.1620163,18.29683211,-7.608722557,-65.65831376,0,0.357558038,0.145701265,0.597423663,0.413664054,0,0.830417974,0.217505381,0.285809362,0.693026904,0,1.40454055,1.061098337,0.143264114,1.247496282,0,0.116637277,0.126218376,0.413003638,0.722535337,0,0.735695339,0.406968987,0.711900023,0.841289693,0,0.759743478,0.499592726,0.26877072,1.664256942,
Firm 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 44,0.436476561,0.096352011,0.148378961,0.234684156,0.358921228,-0.980760873,-0.662158933,-0.090838021,-0.618810111,-0.029493458,-0.543508552,-0.83453763,-0.674523105,-0.143267893,-0.04697183,1.312730198,1.085004533,0.327847493,0.379455405,0.134891976,0.788899069,0.573184369,0.187228198,0.716317041,0.093922445,2.138577467,1.422242143,0.264122575,0.155638822,1.429983185,0.034356256,0.477003652,0.354659433,0.17599329,0.289860306,0.392896226,0.770078347,0.227497072,0.175717407,0.09603058,2.020514072,2.724424578,1.162217242,0.127633972,1.465104345,
Firm 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 46,-0.680046873,-2.068243889,-6.002648426,0.856303159,0.038100862,9.996579816,3.685063456,0.923288588,1.348720293,2.18306394,2.497669371,2.738300375,0.833388172,2.783876111,2.393016727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 47,47.63119833,-12.20130338,-22.58995194,0,0,365.0415769,242.0581744,212.1355806,0,0,47.93178166,108.969543,36.28792628,0,0,3.283589026,-0.443105082,11.51089571,0,0,0.129349028,0.106437859,-0.071267166,0,0,3.811384806,-0.038424196,7.144685327,0,0,3.246913172,-0.643011618,-30.1773643,0,0,0.939478047,0.182464245,4.391155687,0,0,2.795713513,-0.097574687,-17.55095741,0,0,
Firm 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 49,-11.81068729,-18.74086266,1586.381799,596.443074,-2.120253404,801.9086394,313.4726676,2312.448147,2789.559352,2077.103888,40.81330735,48.63386568,768.007153,1129.71897,271.0588877,-10.36083992,-6.168574685,0.763867293,2.442518114,-1.181927792,8.652603763,3.199008236,0.001103985,0.058327112,1.285019356,0.009602574,-5.568479322,1.428455537,0.905988295,0.004842739,-4.4300012,-4.057142371,1.285865056,0.522294917,-0.099694142,4.405223835,0.657154482,0.013500159,-0.01409507,0.46643267,-0.040420277,-1.324385253,1.448478142,2.084806337,0.325204266,
Firm 50,0.008390514,0.181250075,13.67367904,0.076499963,-0.754502129,-8.957687165,-0.920942221,-156.5030512,-63.15903486,-146.2080775,-5.611380497,-31.93411783,-53.71658643,-41.16665668,-76.18970349,-7.2403E-05,-0.000646285,-0.103123295,-4.13072E-07,-0.003588298,-79.60387191,-1.175976095,-0.187790773,1.434119339,0.207989233,-34.56916198,-1.137655902,-0.156452257,1.262581582,0.441963932,0.000159282,0.000561058,0.032020428,0.000545794,-0.004421203,0.53656445,0.07033562,0.530512937,0.124248645,0.588386597,0.409164475,0.080155115,0.841910467,0.145316321,0.049407699,
Firm 51,12.25944902,-10.19453204,0,0,0,610.0695247,169.1176566,0,0,0,1.357912861,261.3640468,0,0,0,20.59570553,1.046080005,0,0,0,-7.126420068,-4.179441042,0,0,0,13.25702796,-1.371817908,0,0,0,-43.25296876,-277.109879,0,0,0,-30.69280804,65.78758664,0,0,0,-0.53635757,-50.99152308,0,0,0,
Firm 52,739.4073062,2373.620757,1464.804196,2771.217904,1783.541113,3080.602759,1704.615513,4958.680342,7394.536801,7724.639061,1979.74325,6165.416602,4998.97758,2147.511607,5539.668598,0.405184716,1.11168079,1.013215076,0.941125389,0.585092943,0.016359425,0.348291789,0.495044322,0.280683553,0.194748678,0.491991892,1.317459646,1.150176767,0.532396167,2.514129759,0.751296053,1.250037433,0.497404801,0.433963598,1.317521669,0.239349885,0.463644183,0.161816712,0.171145842,0.151132347,0.342754484,1.466276746,1.949127268,0.142145254,1.158195747,
Firm 53,1.125855869,2.339556321,5.525445177,7.404675434,6.11639071,3.614577868,2.021515615,1.061119521,3.187703621,2.206720024,0.683457392,2.943960323,2.752481302,4.144075801,11.91211717,0.8711648,1.154567673,0.44500234,0.766333125,0.806893379,0.028862265,0.055172854,0.086977145,0.492946414,0.483825367,1.875229643,0.574530476,1.086704714,1.542694165,1.407373337,0.423528305,0.727505087,0.515282042,1.091676265,0.547918903,0.021766225,0.0139319,0.06782308,0.394063604,0.248575595,0.488018848,1.067547395,0.164173772,0.311643664,0.784739049,
Firm 54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 55,1.531571979,2.220508507,-1.177223187,1.094002742,0,68.16674242,61.11902118,10.58672086,25.43348772,0,27.77662715,36.82119178,14.61077393,16.90412133,0,0,0,0,-4.73661984,0,0,0,0,-95.61049937,0,0,0,0,-224.1279458,0,0,0,0,-41.02894213,0,0,0,0,-30.50207651,0,0,0,0,-104.0742482,0,
Firm 56,158.0261312,186.6004888,301.9991355,217.9325524,217.5861793,2061.934053,107.5768737,1799.689744,1088.149287,528.8257284,1086.166982,23.50811458,855.9938525,591.6047077,26.69836829,0.355905692,0.403196754,0.005897455,0.84967796,0.705773655,0.503190388,0.592101233,0.085990856,0.057358631,0.16244481,0.887111692,1.069090626,1.289533769,0.271303248,0.630226168,0.096464791,0.39944007,1.235572747,1.600338571,0.016280583,0.095949383,0.301991895,0.567296719,0.37460898,0.236316833,0.726875111,0.485915108,0.994784093,2.284584886,1.010372791,
Firm 57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
